Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Yowamushi Pedal,2013–,N/A,07 Oct 2013,23 min,N/A,7.7,series,na
Tughlaq Durbar,2021,N/A,10 Sep 2021,145 min,N/A,5.4,movie,N/A
Kate,2021,R,10 Sep 2021,106 min,47,6.2,movie,N/A
Lucifer,2016–2021,TV-14,25 Jan 2016,42 min,N/A,8.1,series,na
Metal Shop Masters,2021–,TV-MA,10 Sep 2021,1 min,N/A,5.7,series,na
Omo Ghetto: The Saga,2020,N/A,25 Dec 2020,110 min,N/A,7.5,movie,N/A
Prey,2022,R,05 Aug 2022,99 min,71,7.2,movie,N/A
Titipo Titipo,2019,N/A,01 Apr 2019,N/A,N/A,N/A,series,na
Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,09 Sep 2021,95 min,69,6.9,movie,N/A
Mighty Raju,2010–,Not Rated,01 Jan 2014,N/A,N/A,4.3,series,na
Paradise Hills,2019,TV-14,25 Oct 2019,95 min,49,5.3,movie,N/A
The Women and the Murderer,2021,TV-14,09 Sep 2021,92 min,N/A,6.4,movie,N/A
Into the Night,2020–,TV-MA,01 May 2020,N/A,N/A,7.0,series,na
JJ+E,2021,TV-14,08 Sep 2021,90 min,N/A,5.3,movie,N/A
Show Dogs,2018,Unrated,18 May 2018,1 min,31,3.8,movie,"$17,857,020"
The Circle,2017,PG-13,28 Apr 2017,110 min,43,5.3,movie,"$20,497,844"
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,TV-14,13 Mar 2018,58S min,N/A,7.8,movie,N/A
Kid Cosmic,2021–2022,TV-Y7,02 Feb 2021,25 min,N/A,7.9,series,na
Octonauts: Above & Beyond,2021–,TV-Y,07 Sep 2021,N/A,N/A,7.3,series,na
On the Verge,2021,TV-14,07 Sep 2021,N/A,N/A,6.5,series,na
Tobot Galaxy Detectives,2020–,N/A,28 May 2020,N/A,N/A,6.2,series,na
Untold: Breaking Point,2021,TV-MA,07 Sep 2021,68 min,N/A,7.6,movie,N/A
Countdown: Inspiration4 Mission to Space,2021,TV-14,06 Sep 2021,N/A,N/A,7.8,series,na
Shadow Parties,2021,N/A,06 Sep 2021,116 min,N/A,6.2,movie,N/A
"Tayo, the Little Bus",2010–2019,N/A,23 Aug 2010,N/A,N/A,5.3,series,na
Angamaly Diaries,2017,Not Rated,03 Mar 2017,132 min,N/A,7.9,movie,N/A
Bunk'd,2015–,TV-G,31 Jul 2015,17S min,N/A,5.3,series,na
A Champion Heart,2018,G,26 Aug 2021,90 min,N/A,5.9,movie,N/A
Dive Club,2021–,TV-PG,03 Sep 2021,N/A,N/A,6.1,series,na
Money Heist: From Tokyo to Berlin,2021,N/A,03 Sep 2021,N/A,N/A,7.7,series,na
Sharkdog,2021–,TV-Y,03 Sep 2021,7 min,N/A,5.9,series,na
Worth,2020,PG-13,03 Sep 2021,2 min,67,6.8,movie,N/A
Afterlife of the Party,2021,TV-PG,02 Sep 2021,109 min,N/A,5.8,movie,N/A
Anjaam,1994,Not Rated,22 Apr 1994,170 min,N/A,6.6,movie,N/A
Bright Star,2009,PG,09 Oct 2009,2 min,81,6.9,movie,"$4,444,637"
Final Account,2020,PG-13,21 May 2021,1 min,76,7.1,movie,"$308,976"
Gurgaon,2017,N/A,04 Aug 2017,107 min,N/A,6.5,movie,N/A
Here and There,2011,N/A,13 Oct 2011,53 min,N/A,6.3,movie,N/A
Heroes of Goo Jit Zu,2019–,N/A,27 Jun 2019,N/A,N/A,N/A,series,na
Hotel Del Luna,2019,N/A,13 Jul 2019,5 min,N/A,8.2,series,na
In the Cut,2003,R,31 Oct 2003,1 min,46,5.3,movie,"$4,750,602"
Luv Kushh and the Ghost Army Global,2012,N/A,N/A,57 min,N/A,N/A,movie,N/A
Pororo the Little Penguin,2003–,TV-Y,N/A,N/A,N/A,6.1,series,na
Q-Force,2021,TV-MA,02 Sep 2021,30 min,N/A,6.3,series,na
Shikara,2020,Not Rated,07 Feb 2020,118 min,N/A,3.3,movie,N/A
A Cinderella Story,2004,PG,16 Jul 2004,95 min,25,5.9,movie,"$51,438,175"
An Unfinished Life,2005,PG-13,16 Sep 2005,108 min,49,7.0,movie,"$8,586,392"
"Barbie: Big City, Big Dreams",2021,N/A,01 Sep 2021,60 min,N/A,5.8,movie,N/A
Brave Animated Series,2021,N/A,04 Jul 2021,N/A,N/A,N/A,series,na
Chappie,2015,R,06 Mar 2015,120 min,41,6.8,movie,"$31,569,268"
Clear and Present Danger,1994,PG-13,03 Aug 1994,141 min,74,6.9,movie,"$122,187,717"
Cliffhanger,1993,R,28 May 1993,1 min,60,6.5,movie,"$84,049,211"
Cold Mountain,2003,R,25 Dec 2003,154 min,73,7.2,movie,"$95,636,509"
Crocodile Dundee in Los Angeles,2001,PG,20 Apr 2001,2 min,37,4.8,movie,"$25,635,682"
Dear John,2010,PG-13,05 Feb 2010,108 min,43,6.3,movie,"$80,014,842"
Do the Right Thing,1989,R,21 Jul 1989,120 min,93,7.9,movie,"$27,545,445"
Extraction,2020,R,24 Apr 2020,116 min,56,6.7,movie,N/A
Freedom Writers,2007,PG-13,05 Jan 2007,123 min,64,7.6,movie,"$36,605,602"
Green Lantern,2011,PG-13,17 Jun 2011,114 min,39,5.5,movie,"$116,601,172"
House Party,1990,R,09 Mar 1990,1 min,76,6.5,movie,"$26,385,627"
House Party 2,1991,R,23 Oct 1991,31S min,N/A,5.2,movie,"$19,438,638"
House Party 3,1994,R,12 Jan 1994,31S min,N/A,4.6,movie,"$19,281,235"
How to Be A Cowboy,2021–,TV-PG,01 Sep 2021,1 min,N/A,6.8,series,na
I Got the Hook Up,1998,R,27 May 1998,93 min,N/A,4.0,movie,"$10,317,779"
In Too Deep,1999,R,25 Aug 1999,95 min,53,6.2,movie,"$14,011,454"
Initial D,2005,TV-PG,23 Jun 2005,2 min,48,6.3,movie,N/A
Janoskians: Untold and Untrue,2015,Unrated,28 Aug 2015,88 min,N/A,3.7,movie,N/A
Kid-E-Cats,2016–,N/A,N/A,5 min,N/A,7.0,series,na
Kuroko's Basketball,2012–2015,TV-14,07 Apr 2012,24 min,N/A,8.3,series,na
Labyrinth,1986,PG,27 Jun 1986,101 min,50,7.3,movie,"$13,723,253"
Letters to Juliet,2010,PG,14 May 2010,105 min,50,6.5,movie,"$53,032,453"
Level 16,2018,Not Rated,27 May 2019,102 min,46,6.1,movie,N/A
Love Don't Cost a Thing,2003,PG-13,12 Dec 2003,100 min,37,5.2,movie,"$21,924,226"
Love in a Puff,2010,N/A,25 Mar 2010,104 min,N/A,7.1,movie,N/A
Major Dad,1989–1993,N/A,17 Sep 1989,30 min,N/A,6.5,series,na
Mars Attacks!,1996,PG-13,13 Dec 1996,106 min,52,6.4,movie,"$37,781,197"
Marshall,2017,PG-13,13 Oct 2017,2 min,66,7.2,movie,"$10,051,659"
My Boss's Daughter,2003,PG-13,22 Aug 2003,1 min,15,4.7,movie,"$15,550,605"
Mystery Men,1999,PG-13,06 Aug 1999,121 min,65,6.1,movie,"$29,762,011"
Once Upon a Time in America,1984,R,01 Jun 1984,229 min,75,8.3,movie,"$5,321,508"
Open Season 2,2008,PG,24 Sep 2008,76 min,N/A,5.6,movie,N/A
Osmosis Jones,2001,PG,10 Aug 2001,95 min,57,6.3,movie,"$13,596,911"
Poseidon,2006,PG-13,12 May 2006,98 min,50,5.7,movie,"$60,674,817"
Lincoln Rhyme: Hunt for the Bone Collector,2020,TV-14,01 Jan 2020,43 min,N/A,6.8,series,na
Same Kind of Different as Me,2017,PG-13,20 Oct 2017,2 min,47,6.6,movie,"$6,423,605"
School of Rock,2003,PG-13,03 Oct 2003,109 min,82,7.2,movie,"$81,261,177"
Snervous Tyler Oakley,2015,PG-13,11 Dec 2015,1 min,N/A,5.4,movie,N/A
Tears of the Sun,2003,R,07 Mar 2003,121 min,48,6.6,movie,"$43,734,876"
The Blue Lagoon,1980,R,02 Jul 1980,104 min,31,5.8,movie,"$58,853,106"
The Golden Child,1986,PG-13,12 Dec 1986,2 min,37,5.9,movie,"$79,817,937"
The Guns of Navarone,1961,Not Rated,28 Apr 1961,158 min,72,7.5,movie,N/A
The Interview,2014,R,24 Dec 2014,112 min,52,6.5,movie,"$6,105,175"
The Nutty Professor,1996,PG-13,28 Jun 1996,1 min,62,5.7,movie,"$128,814,019"
The 'Nutty Professor II: The Klumps' Debacle,2016,N/A,24 Jan 2016,N/A,N/A,N/A,movie,N/A
Turning Point: 9/11 and the War on Terror,2021,TV-14,01 Sep 2021,N/A,N/A,8.0,series,na
